<pre>

101070301	鞍山	辽宁
101070302	台安	辽宁
101070303	岫岩	辽宁
101070304	海城	辽宁
101070401	抚顺	辽宁
101070402	新宾	辽宁
101070403	清原	辽宁
101070404	章党	辽宁
101070501	本溪	辽宁
101070502	本溪县	辽宁
101070504	桓仁	辽宁
101070601	丹东	辽宁
101070602	凤城	辽宁
101070603	宽甸	辽宁
101070604	东港	辽宁
101070701	锦州	辽宁
101070702	凌海	辽宁
101070704	义县	辽宁
101070705	黑山	辽宁
101070706	北镇	辽宁
101070801	营口	辽宁
101070802	大石桥	辽宁
101070803	盖州	辽宁
101070901	阜新	辽宁
101070902	彰武	辽宁
101071001	辽阳	辽宁
101071002	辽阳县	辽宁
101071003	灯塔	辽宁
101071004	弓长岭	辽宁
101071101	铁岭	辽宁
101071102	开原	辽宁
101071103	昌图	辽宁
101071104	西丰	辽宁
101071105	调兵山	辽宁
101071201	朝阳	辽宁
101071203	凌源	辽宁
101071204	喀左	辽宁
101071205	北票	辽宁
101071207	建平县	辽宁
101071301	盘锦	辽宁
101071302	大洼	辽宁
101071303	盘山	辽宁
101071401	葫芦岛	辽宁
101071402	建昌	辽宁
101071403	绥中	辽宁
101071404	兴城	辽宁
101080101	呼和浩特	内蒙古
101080102	土左旗	内蒙古
101080103	托县	内蒙古
101080104	和林	内蒙古
101080105	清水河	内蒙古
101080106	赛罕	内蒙古
101080107	武川	内蒙古
101080201	包头	内蒙古
101080202	白云鄂博	内蒙古
101080203	满都拉	内蒙古
101080204	土右旗	内蒙古
101080205	固阳	内蒙古
101080206	达茂旗	内蒙古
101080207	希拉穆仁	内蒙古
101080301	乌海	内蒙古
101080401	集宁	内蒙古
101080402	卓资	内蒙古
101080403	化德	内蒙古
101080404	商都	内蒙古
101080406	兴和	内蒙古
101080407	凉城	内蒙古
101080408	察右前旗	内蒙古
101080409	察右中旗	内蒙古
101080410	察右后旗	内蒙古
101080411	四子王旗	内蒙古
101080412	丰镇	内蒙古
101080501	通辽	内蒙古
101080502	舍伯吐	内蒙古
101080503	科左中旗	内蒙古
101080504	科左后旗	内蒙古
101080505	青龙山	内蒙古
101080506	开鲁	内蒙古
101080507	库伦	内蒙古
101080508	奈曼	内蒙古
101080509	扎鲁特	内蒙古
101080511	巴雅尔吐胡硕	内蒙古
101080512	霍林郭勒	内蒙古
101080601	赤峰	内蒙古
101080603	阿鲁旗	内蒙古
101080604	浩尔吐	内蒙古
101080605	巴林左旗	内蒙古
101080606	巴林右旗	内蒙古
101080607	林西	内蒙古
101080608	克什克腾	内蒙古
101080609	翁牛特	内蒙古
101080610	岗子	内蒙古
101080611	喀喇沁	内蒙古
101080612	八里罕	内蒙古
101080613	宁城	内蒙古
101080614	敖汉	内蒙古
101080615	宝国吐	内蒙古
101080701	鄂尔多斯	内蒙古
101080703	达拉特	内蒙古
101080704	准格尔	内蒙古
101080705	鄂前旗	内蒙古
101080706	河南	内蒙古
101080707	伊和乌素	内蒙古
101080708	鄂托克	内蒙古
101080709	杭锦旗	内蒙古
101080710	乌审旗	内蒙古
101080711	伊金霍洛	内蒙古
101080712	乌审召	内蒙古
101080713	东胜	内蒙古
101080801	临河	内蒙古
101080802	五原	内蒙古
101080803	磴口	内蒙古
101080804	乌前旗	内蒙古
101080805	大佘太	内蒙古
101080806	乌中旗	内蒙古
101080807	乌后旗	内蒙古
101080808	海力素	内蒙古
101080809	那仁宝力格	内蒙古
101080810	杭锦后旗	内蒙古
101080901	锡林浩特	内蒙古
101080903	二连浩特	内蒙古
101080904	阿巴嘎	内蒙古
101080906	苏左旗	内蒙古
101080907	苏右旗	内蒙古
101080908	朱日和	内蒙古
101080909	东乌旗	内蒙古
101080910	西乌旗	内蒙古
101080911	太仆寺	内蒙古
101080912	镶黄旗	内蒙古
101080913	正镶白旗	内蒙古
101080914	正蓝旗	内蒙古
101080915	多伦	内蒙古
101080916	博克图	内蒙古
101080917	乌拉盖	内蒙古
101081001	海拉尔	内蒙古
101081002	小二沟	内蒙古
101081003	阿荣旗	内蒙古
101081004	莫力达瓦	内蒙古
101081005	鄂伦春旗	内蒙古
101081006	鄂温克旗	内蒙古
101081007	陈旗	内蒙古
101081008	新左旗	内蒙古
101081009	新右旗	内蒙古
101081010	满洲里	内蒙古
101081011	牙克石	内蒙古
101081012	扎兰屯	内蒙古
101081014	额尔古纳	内蒙古
101081015	根河	内蒙古
101081016	图里河	内蒙古
101081101	乌兰浩特	内蒙古
101081102	阿尔山	内蒙古
101081103	科右中旗	内蒙古
101081104	胡尔勒	内蒙古
101081105	扎赉特	内蒙古
101081106	索伦	内蒙古
101081107	突泉	内蒙古
101081109	科右前旗	内蒙古
101081110	高力板	内蒙古
101081201	阿左旗	内蒙古
101081202	阿右旗	内蒙古
101081203	额济纳	内蒙古
101081204	拐子湖	内蒙古
101081205	吉兰太	内蒙古
101081206	锡林高勒	内蒙古
101081207	头道湖	内蒙古
101081208	中泉子	内蒙古
101081209	巴彦诺日公	内蒙古
101081210	雅布赖	内蒙古
101081211	乌斯太	内蒙古
101081212	孪井滩	内蒙古
101090101	石家庄	河北
101090102	井陉	河北
101090103	正定	河北
101090104	栾城	河北
101090105	行唐	河北
101090106	灵寿	河北
101090107	高邑	河北
101090108	深泽	河北
101090109	赞皇	河北
101090110	无极	河北
101090111	平山	河北
101090112	元氏	河北
101090113	赵县	河北
101090114	辛集	河北
101090115	藁城	河北
101090116	晋州	河北
101090117	新乐	河北
101090118	鹿泉	河北
101090201	保定	河北
101090202	满城	河北
101090203	阜平	河北
101090204	徐水	河北
101090205	唐县	河北
101090206	高阳	河北
